typicalFacadeGlazingRatio typicalFacadeWindowWidth groundFacadeGlazingRatio groundFacadeWindowWidth buildingDepth balconyWidth atriumArea aspectRatio groundFloorHeight typicalfloorHeight numberLevels groundSDA firstSDA groundASE firstASE
0.7 3 0.8 4 26 1 2700 0.5 4.1 3 10 63.8 35.5 17.0 9.7
0.7 2 0.8 2 17 2 2500 1.4 3 2.8 10 64.7 43.8 14.1 11.2
0.7 2 0.9 2 27 5 3800 0.7 3.8 2.9 4 59.6 27.5 17.9 8.4
0.9 2 0.9 2 38 2 1500 1.5 5.8 3 2 89.2 32.7 22.8 9.9
0.7 4 0.9 4 31 3 1200 0.6 3.2 2.6 5 43.0 21.8 12.4 7.8
0.9 2 0.7 2 18 5 2100 1.3 5 2.9 9 100.0 41.4 23.9 14.5
0.7 3 0.7 4 37 4 3500 1 3.4 3 8 32.5 21.9 9.7 5.6
0.8 3 0.9 4 21 3 3300 0.7 3.2 2.5 1 74.9 53.2 18.7 17.3
0.8 2 0.8 2 28 1 1800 1.1 4.3 2.9 2 80.0 40.9 23.9 16.0
0.8 4 0.8 3 39 2 3800 0.5 3.5 2.9 9 32.7 21.0 10.0 7.6
0.8 2 0.7 2 34 1 1600 0.8 5.9 2.8 4 89.1 30.5 22.8 11.6
0.8 3 0.8 3 29 3 3200 1 4.2 2.6 9 59.9 25.6 17.9 9.9
0.8 4 0.9 4 26 2 2000 0.8 3.1 2.7 3 50.6 38.9 14.7 13.6
0.8 4 0.7 4 36 4 2900 0.8 6 2.5 3 89.7 19.5 19.4 7.2
0.9 4 0.8 3 40 4 2700 0.6 3.6 2.5 1 40.0 27.4 11.3 13.2
0.8 4 0.9 3 17 6 3800 1.4 4.4 2.7 10 100.0 37.7 23.0 12.4
0.8 3 0.7 4 18 5 3400 0.8 5.2 2.8 10 100.0 38.6 26.6 15.2
0.7 2 0.7 3 23 6 1300 0.6 3.1 2.8 4 47.1 32.2 8.3 9.6
0.8 3 0.8 2 33 3 1800 1.4 5.1 2.8 8 68.5 24.8 17.4 9.1
0.9 4 0.9 4 19 1 1300 1.3 4.2 2.7 9 100.0 47.1 25.9 16.0
0.8 2 0.8 4 19 3 3700 1 5.5 2.6 3 100.0 48.1 35.5 13.5
0.7 4 0.7 3 28 1 1500 1.4 4.3 2.8 3 67.6 38.6 22.1 12.8
